lsl_timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,marker
794632.9423959157,-21464.984375,-12396.9033203125,-29722.58984375,-6264.79150390625,-31514.88671875,-28231.908203125,-22225.814453125,-12545.2744140625,
794632.9463959157,-21462.94921875,-12393.796875,-29723.3046875,-6239.5791015625,-31515.78125,-28235.86328125,-22226.84375,-12545.4755859375,
794632.9503959157,-21469.341796875,-12396.5234375,-29727.283203125,-6187.119140625,-31521.525390625,-28243.642578125,-22232.765625,-12549.185546875,
794632.947540791,-21472.001953125,-12399.451171875,-29727.328125,-6210.7900390625,-31527.626953125,-28250.5703125,-22238.33203125,-12552.29296875,
794632.951540791,-21471.48828125,-12401.798828125,-29726.970703125,-6267.9658203125,-31530.353515625,-28256.337890625,-22241.7734375,-12554.505859375,
794632.9555407909,-21469.4765625,-12402.5810546875,-29729.318359375,-6260.544921875,-31529.169921875,-28261.478515625,-22245.619140625,-12557.7685546875,
794632.9595407909,-21470.6171875,-12400.390625,-29729.09375,-6205.3134765625,-31530.509765625,-28262.8203125,-22243.919921875,-12553.455078125,
794632.9635407908,-21476.091796875,-12408.50390625,-29736.224609375,-6208.95703125,-31539.25,-28271.8046875,-22251.921875,-12558.037109375,
794632.9675407908,-21474.1484375,-12412.0576171875,-29736.873046875,-6267.138671875,-31539.517578125,-28275.44921875,-22257.80078125,-12570.1962890625,
794632.9715407907,-21467.666015625,-12409.9345703125,-29733.498046875,-6268.77001953125,-31536.724609375,-28274.12890625,-22255.69921875,-12565.8154296875,
794632.9755407907,-21465.85546875,-12410.3369140625,-29735.798828125,-6210.45458984375,-31534.087890625,-28273.16796875,-22251.85546875,-12568.0732421875,
794632.9795407907,-21471.107421875,-12417.3779296875,-29744.0703125,-6198.384765625,-31534.376953125,-28277.392578125,-22255.833984375,-12566.486328125,
794632.9835407906,-21476.583984375,-12422.5859375,-29745.568359375,-6252.38623046875,-31536.5,-28278.376953125,-22258.783203125,-12564.0947265625,
794632.984026958,-21483.87109375,-12428.732421875,-29749.92578125,-6269.61962890625,-31538.4453125,-28281.416015625,-22264.080078125,-12575.7392578125,
794632.988026958,-21485.189453125,-12430.8330078125,-29752.607421875,-6215.7294921875,-31536.0546875,-28278.17578125,-22262.60546875,-12574.6669921875,
794632.9920269579,-21492.029296875,-12437.3154296875,-29758.755859375,-6197.5576171875,-31544.30078125,-28279.62890625,-22265.7578125,-12580.6572265625,
794632.9960269579,-21491.380859375,-12435.8623046875,-29754.93359375,-6252.38623046875,-31544.32421875,-28272.744140625,-22262.13671875,-12580.74609375,
794633.0000269578,-21480.8984375,-12425.3349609375,-29742.59375,-6284.55078125,-31540.546875,-28257.90234375,-22251.541015625,-12575.046875,
794633.0040269578,-21488.609375,-12437.5390625,-29754.84375,-6245.21142578125,-31561.087890625,-28267.513671875,-22260.52734375,-12586.669921875,
794633.0080269577,-21479.736328125,-12430.810546875,-29744.96484375,-6205.06787109375,-31559.076171875,-28257.1875,-22250.69140625,-12574.6669921875,
794633.0120269577,-21479.869140625,-12433.2470703125,-29742.03515625,-6245.65869140625,-31566.228515625,-28257.521484375,-22253.10546875,-12572.9013671875,
794633.0160269577,-21466.861328125,-12419.5458984375,-29723.484375,-6291.546875,-31554.248046875,-28240.19921875,-22241.796875,-12566.150390625,
794633.0200269576,-21457.5859375,-12414.8515625,-29714.7890625,-6248.00537109375,-31551.25390625,-28235.39453125,-22238.443359375,-12559.8701171875,
794633.0348137501,-21455.998046875,-12422.7646484375,-29717.44921875,-6196.88720703125,-31559.90234375,-28246.2578125,-22246.9375,-12560.697265625,
794633.03881375,-21456.466796875,-12424.619140625,-29711.63671875,-6221.87646484375,-31560.908203125,-28250.83984375,-22252.94921875,-12554.2373046875,
794633.04281375,-21458.390625,-12425.9384765625,-29708.240234375,-6271.02783203125,-31561.646484375,-28254.75,-22257.509765625,-12555.01953125,
794633.0468137499,-21459.73046875,-12431.90625,-29708.015625,-6246.2841796875,-31569.537109375,-28264.451171875,-22266.96484375,-12571.783203125,
794633.0508137499,-21453.919921875,-12437.9853515625,-29708.330078125,-6192.08154296875,-31577.6953125,-28271.470703125,-22275.123046875,-12565.48046875,
794633.0548137499,-21448.64453125,-12438.455078125,-29703.03125,-6202.720703125,-31575.05859375,-28270.642578125,-22278.2734375,-12560.048828125,
794633.0588137498,-21452.7578125,-12437.60546875,-29695.72265625,-6256.9462890625,-31573.44921875,-28270.21875,-22282.923828125,-12569.525390625,
794633.0628137498,-21452.109375,-12438.34375,-29696.953125,-6246.4853515625,-31579.7734375,-28273.392578125,-22286.275390625,-12570.93359375,
794633.0668137497,-21464.669921875,-12448.826171875,-29708.619140625,-6198.47412109375,-31594.4375,-28283.0703125,-22296.55859375,-12586.9150390625,
794633.0708137497,-21462.5703125,-12442.791015625,-29699.43359375,-6212.62255859375,-31591.642578125,-28274.62109375,-22289.271484375,-12585.8876953125,
794633.067980041,-21445.984375,-12423.0322265625,-29677.283203125,-6258.24267578125,-31579.013671875,-28254.4375,-22267.90234375,-12571.3359375,
794633.071980041,-21438.609375,-12414.8515625,-29670.33203125,-6257.9521484375,-31574.1640625,-28244.177734375,-22256.32421875,-12566.955078125,
794633.075980041,-21446.498046875,-12425.87109375,-29684.390625,-6201.7373046875,-31585.16015625,-28252.60546875,-22263.142578125,-12582.5341796875,
794633.0799800409,-21453.494140625,-12433.0234375,-29692.638671875,-6192.46142578125,-31589.408203125,-28254.884765625,-22267.880859375,-12588.591796875,
794633.0839800409,-21453.5625,-12430.341796875,-29686.447265625,-6243.177734375,-31582.43359375,-28246.48046875,-22261.779296875,-12576.4775390625,
794633.0879800408,-21456.087890625,-12431.951171875,-29689.509765625,-6269.91015625,-31588.87109375,-28244.4921875,-22259.029296875,-12569.5927734375,
794633.0919800408,-21468.73828125,-12441.7412109375,-29702.62890625,-6227.5537109375,-31604.3828125,-28255.779296875,-22266.5625,-12577.9296875,
794633.0959800407,-21466.83984375,-12439.7294921875,-29701.154296875,-6209.44873046875,-31608.853515625,-28256.716796875,-22264.21484375,-12576.923828125,
794633.0999800407,-21458.724609375,-12431.75,-29689.822265625,-6255.4931640625,-31607.7578125,-28252.1796875,-22259.8125,-12577.6396484375,
794633.1039800406,-21462.63671875,-12432.9794921875,-29689.197265625,-6288.6630859375,-31612.98828125,-28255.353515625,-22263.74609375,-12584.568359375,
